bq2419x_charger_init +0x18 -> 0xc03b62a4 i2c_register_driver
bq2419x_write_byte +0x4c -> 0xc03b5344 i2c_transfer
bq2419x_write_byte +0x6c -> 0xc02bf034 dev_err
bq2419x_config_power_on_reg +0x74 -> 0xc0418538 bq2419x_write_byte
bq2419x_config_misc_operation_reg +0x2c -> 0xc0418538 bq2419x_write_byte
bq2419x_config_input_source_reg +0x104 -> 0xc0418538 bq2419x_write_byte
bq2419x_config_current_reg +0x44 -> 0xc0418538 bq2419x_write_byte
bq2419x_config_prechg_term_current_reg +0x6c -> 0xc0418538 bq2419x_write_byte
bq2419x_config_voltage_reg +0x48 -> 0xc0418538 bq2419x_write_byte
bq2419x_config_term_timer_reg +0x3c -> 0xc0418538 bq2419x_write_byte
bq2419x_config_thernal_regulation_reg +0x50 -> 0xc0418538 bq2419x_write_byte
bq2419x_read_block +0x5c -> 0xc03b5344 i2c_transfer
bq2419x_read_block +0x7c -> 0xc02bf034 dev_err
bq2419x_ocp_recovery_work +0x1c -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_ocp_recovery_work +0x2c -> 0xc02bef50 _dev_info
bq2419x_set_current +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_current +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_enable_batfet +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_enable_batfet +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_enable_batfet +0x5c -> 0xc041863c bq2419x_config_misc_operation_reg
bq2419x_set_cin_limit +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_cin_limit +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_cin_limit +0x58 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_set_dppm_voltage +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_dppm_voltage +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_dppm_voltage +0x5c -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_set_enable_hz_mode +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_enable_hz_mode +0x2c -> 0xc025b368 _kstrtol
