index,address,offset,type,size,name
0,0xc0008000,0x0,T,80,stext
1,0xc0008000,0x0,T,80,_sinittext
2,0xc0008000,0x0,T,80,_stext
3,0xc0008000,0x0,T,80,__init_begin
4,0xc0008050,0x50,t,180,__create_page_tables
5,0xc0008104,0x104,t,12,__enable_mmu_loc
6,0xc0008110,0x110,t,64,__fixup_pv_table
7,0xc0008150,0x150,t,56,__vet_atags
8,0xc0008188,0x188,t,72,__mmap_switched
9,0xc00081d0,0x1d0,t,36,__mmap_switched_data
10,0xc00081f4,0x1f4,T,20,lookup_processor_type
11,0xc0008208,0x208,t,40,set_reset_devices
12,0xc0008230,0x230,t,40,debug_kernel
13,0xc0008258,0x258,t,40,quiet_kernel
14,0xc0008280,0x280,t,68,init_setup
15,0xc00082c4,0x2c4,t,68,rdinit_setup
16,0xc0008308,0x308,t,56,loglevel
17,0xc0008340,0x340,t,584,unknown_bootoption
18,0xc0008588,0x588,t,204,do_early_param
19,0xc0008654,0x654,T,68,parse_early_options
20,0xc0008698,0x698,T,84,parse_early_param
21,0xc00086ec,0x6ec,W,16,smp_setup_processor_id
22,0xc00086fc,0x6fc,W,16,thread_info_cache_init
23,0xc000870c,0x70c,T,904,start_kernel
24,0xc0008a94,0xa94,t,416,kernel_init
25,0xc0008c34,0xc34,t,60,rootwait_setup
26,0xc0008c70,0xc70,t,36,root_data_setup
27,0xc0008c94,0xc94,t,36,fs_names_setup
28,0xc0008cb8,0xcb8,t,48,root_delay_setup
29,0xc0008ce8,0xce8,t,48,root_dev_setup
30,0xc0008d18,0xd18,t,52,load_ramdisk
31,0xc0008d4c,0xd4c,t,64,readonly
32,0xc0008d8c,0xd8c,t,64,readwrite
33,0xc0008dcc,0xdcc,T,764,mount_block_root
34,0xc00090c8,0x10c8,T,248,change_floppy
35,0xc00091c0,0x11c0,T,116,mount_root
36,0xc0009234,0x1234,T,552,prepare_namespace
37,0xc000945c,0x145c,t,48,ramdisk_start_setup
38,0xc000948c,0x148c,t,52,prompt_ramdisk
